08出品者,08場所,フィールド1,神代０７,神代０８,07場所,07出品者,出典,修正・レコード内追加,修正事項,出所･担当等,品種名,交配親・産地,分類,花色,作出命名者,所属・Sec/原種　,発表見/掲載,読み,掲載,追加,フィールド3,フィールド2,担当者,入
,,,,,,,BUX ILTB,,,,Lady Dunsany,,tuber hyb.,pink,,,1892 Gar(0),,(0),,,,,
,,○,,,,,BUX HF,,,,Lady Eardley,,z,,,,1862 (0),ﾚﾃﾞｨｰ･ｲｱｰﾄﾞﾚｲ,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Ebury,,tuber hyb.,rose,T. S. Ware,,1912 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady E. Malet,,tuber hyb.,salmon,Cannell,,1903CC1903,,1903,,,,,
,,,,,,,BUX ILTB,,,,Lady E. Peel,,tuber hyb.,salmon,,,CC 1897,,1897,,,,,
,,,,,,,BUX ILTB,,,,Lady Emily,,tuber hyb.,amber,,,1886 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Emily,,tuber hyb.,yellow,Cannell,,CC 1882,,1882,,,,,
,,,,,,,BUX ILTB,,,,Lady Emily Dyke,,tuber hyb.,yellow,,,CC 1897,,1897,,,,,
,,,,,,,BUX ILTB,,,,Lady Ester Smith,,tuber hyb.,salmon,Cannell,,1902CC1902,,1902,,,,,
,,,,,,,BUX ILTB,,,,Lady Evelyn Brighton,,tuber hyb.,red,,,MDGZ1900,,1900,,,,,
,,,,,,,BUX ILTB,,,,Lady Evelyn Crichton,,tuber hyb.,pink,Cannell,,1899CC1899,,1899,,,,,
,,,,,,,BUX ILTB,,,,Lady Falmouth,,tuber hyb.,,Laing,,1885 GI(0),,(0),,,,,
,,○,,,,,BUX ILTB,,,,Lady Fingers,,rhiz,,,,,ﾚﾃﾞｨｰ･ﾌｨﾝｶﾞｰｽ,,,,,,○'80
,,○,,,,,ABS R#418,,,,Lady Florita Cowell,unk. rex,rex,,Leatherman,CA,1964,ﾚﾃﾞｨｰ･ﾌﾛﾘｰﾀ･ｶｳｴﾙ,,,,,,
,,,,,,,BUX Beg'66,,,,Lady Francis,,semp,,,,,ﾚﾃﾞｨｰ･,,,,,,
,,○,,,,,ABS R#259,,,,Lady Frances Jean,unk. rexes,rex,,Leatherman,CA,1962,ﾚﾃﾞｨｰ･ﾌﾗﾝｾｽ･ｼﾞｰﾝ,,,,,,○
,,○,,,,,ABS R#261,,,,Lady Frances Leatherman,unk. rexes,rex,,Leatherman,CA,1963,ﾚﾃﾞｨｰ･ﾌﾗﾝｾｽ･ﾚｻﾞ-ﾏﾝ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Franklin,,tuber hyb.,blush,Cannell,,1898CC1899,,1899,,,,,
,,○,,,,,BUX Beg'72,,,,Lady Gay,,z,,,,,ﾚﾃﾞｨｰ･ｹﾞｲ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Gertrude,,tuber hyb.,salmon,,,CC 1899,,1899,,,,,
,,,,,,,BUX ILTB,,,,Lady Gertrude,,tuber hyb.,white,Laing,,1892 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Gertrude,,tuber hyb.,pink,B&L,England,1902 (0),,(0),,,,,
,,○,,,,,BUX MLT,,,,Lady Grace,Maphil x conchifolia,rhiz,,L' Hommedieu,,1975,ﾚﾃﾞｨｰ･ｸﾞﾚｰｽ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Grant,,tuber hyb.,flesh,Cannell,,1897 CC1897,,1897,,,,,
,,,,,,,BUX ILTB,,,,Lady Griffths,,tuber hyb.,cerise,Cannell,,1902?Gar1902,,1902,,,,,
,,,,,,,BUX ILTB,,,,Lady H. Erskine,,tuber hyb.,white,Cannell,,1902 Gar1902,,1902,,,,,
,,,,,,,BUX ILTB,,,,Lady H. Somerset,,tuber hyb.,cream,Cannell,,1899CC1899,,1899,,,,,
,,○,,,,,BUX TBG,,,,Lady Hamilton,,rex,,,,1981,ﾚﾃﾞｨｰ･ﾊﾐﾙﾄﾝ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Hamilton,,tuber hyb.,white,Laing,,1893 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Hamilton Gordon,,tuber hyb.,buff,,,CC 1897,,1897,,,,,
,,,,,,,BUX ILTB,,,,Lady Hampden,,tuber hyb.,pink,Cannell,,1898CC1899,,1899,,,,,
,,,,,,,BUX ILTB,,,,Lady Hampton,,tuber hyb.,salmon,Cannell,,1905CC1905,,1905,,,,,
,,,,,,,BUX ILTB,,,,Lady Harpur Crewe,,tuber hyb.,rose/pink,Cannell,,1896 CC1897,,1897,,,,,
,,,,,,,BUX ILTB,,,,Lady Harriet Cavendish,,tuber hyb.,pink,Cannell,,1889 Gar(0),,(0),,,,,
,,○,,,,,BUX MLT,,,,Lady Helen Shortt,,rex,,Leatherman,CA,,ﾚﾃﾞｨｰ･ﾍﾚﾝ･ｼｮｰﾄ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Henry Grosvenor,,tuber hyb.,salmon,,,CC 1897,,1897,,,,,
,,,,,,,BUX ILTB,,,,Lady Horatio Erskine,,tuber hyb.,white,Cannell,,1901CC1902,,1902,,,,,
,,○,,,,,BUX FlEx,,,,Lady Horne,,z,,,,1903 (0),ﾚﾃﾞｨｰ･ﾎｰﾝ,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Howe,,tuber hyb.,,Laing,,1903 RH(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Hulse,,tuber hyb.,white,,,1885 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Hume Campbell,,tuber hyb.,pink,Laing,,1880 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Hunter,,tuber hyb.,cream,,,1916 B&L(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Iddesleigh,,tuber hyb.,buff,Laing,,1889 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Idina Brassey,,tuber hyb.,salmon,,,CC 1902,,1902,,,,,
,,,,,,,BUX ILTB,,,,Lady Irene Burgess,,tuber hyb.,white,,,1917 B&L(0),,(0),,,,,
,,○,,,,,BUX ILTB,,,,Lady Iris Westerdahl,,rex,,Leatherman,CA,,ﾚﾃﾞｨｰ･ｱｲﾘｽ･ｳｪｽﾀｰﾀﾞｰﾙ,,,,,,
,,○,,,,,BUX TBG,,,,Lady Jeanne Kaskin,,rex,,Leatherman,CA,,ﾚﾃﾞｨｰ･ｼﾞｰﾝ･ｶｽｷﾝ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Jellicoe,,tuber hyb.,mauve,,,1915 B&L(0),,(0),,,,,
,,○,,,,,ABS R#111,,,,Lady Joanne,Carnot  x  rex unk. seedling,rex,,Fisher,CA,1952 (0),ﾚﾃﾞｨｰ･ｼﾞｮｱﾝﾅ,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Julian Goldsmid,,tuber hyb.,,Laing,,1891 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Kerrison,,tuber hyb.,white,,,CC 1897,,1897,,,,,
,,,,,,,BUX ILTB,,,,Lady Kilmorey,,tuber hyb.,buff,Cannell,,1903CC1903,,1903,,,,,
,,,,,,,BUX ILTB,,,,Lady Kirk,,tuber hyb.,salmon,,,1886 Gar(0),,(0),,,,,
,,○,,,,,BUX Beg'57,,,,Lady Laura May,,rex,,Beth Bath,CA,p 226(1),ﾚﾃﾞｨｰ･ﾛｰﾗ･ﾒｲ,(1),,,,,
,,○,,,,,BUX CABS,,,,Lady Laura Yewell,,rex,,Leatherman,CA,,ﾚﾃﾞｨｰ･ﾛｰﾗ･ﾔｳｪﾙ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Lawrence,,tuber hyb.,yellow,Cannell,,1891 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Lennox,,tuber hyb.,,Laing,,1887 RHB(0),,(0),,,,,
,,○,,,,,BUX ILTB,,,,Lady Leone,Crestabruchii x Feasti x Bunchii,rhiz,pink,Burley,Aust.,1981,ﾚﾃﾞｨｰ･ﾚｵｰﾈ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Lilford,,tuber hyb.,primrose,B&L,England,1935 GI(0),,(0),,,,,
,,○,,,,,BUX MLT1,,,,Lady Lillian,Black Knight x Chumash     = Lillian Patburg,rhiz,pink,G. Frost,CA,,ﾚﾃﾞｨｰ･ﾘﾘｱﾝ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Lindsay,,tuber hyb.,yellow,,,CC 1906,,1906,,,,,
,,,,,,,BUX ILTB,,,,Lady Londesborough,,tuber hyb.,,Henderson,,CLVH1878,,1878,,,,,
,,,,,,,BUX ILTB,,,,Lady Londonderry,,tuber hyb.,white,Laing,,Gar 1904,,1904,,,,,
,,,,,,,BUX ILTB,,,,Lady Londsdale,,tuber hyb.,buff,,,CC 1902,,1902,,,,,
,,○,,,,,BUX ADR,,,,Lady Lou,coccinea seedling,cane,pink,A. D. Robinson,CA,1934 (0),ﾚﾃﾞｨｰ･ﾙｰ,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Lugard,,tuber hyb.,pink,Cannell,,1906CC1906,,1906,,,,,
,,○,,,,,BUX WWE,,,,Lady Mac,socotrana x Lonsdale Pink,hiemalis,,Edgar,MA,1925 (0),ﾚﾃﾞｨ･ﾏｯｸ,(0),,,,,
,,○,,,,,BUX Beg'74,,,,Lady Mac-Melior,,z,,,,,ﾚﾃﾞｨｰ･ﾏｯｸ･ﾒﾘｱｰ,,,,,,
,,○,,,,,BUX Beg'51,,,,Lady Margaret,,rex,,Broder,,,ﾚﾃﾞｨｰ･ﾏｰｶﾞﾚｯﾄ,,,,,,
,,○,,,,,BUX CABS,,,,Lady Margaret Lee,,rex,,Leatherman,CA,,ﾚﾃﾞｨｰ･ﾏｰｶﾞﾚｯﾄ･ﾘｰ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Margery,,tuber hyb.,orange,,,1909 B&L(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Martineau,,tuber hyb.,blush,Cannell,,1902CC1902,,1902,,,,,
,,,,,,,BUX ILTB,,,,Lady Mary Annie Forester,,tuber hyb.,yellow,,,CC 1897,,1897,,,,,
,,○,,,,,BUX MLT,,,,Lady Mary Burchell,,rex,,Leatherman,CA,,ﾚﾃﾞｨｰ･ﾏﾘｰ･ﾊﾞｰﾁｪﾙ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Mary Byng,,tuber hyb.,salmon,,,CC 1905,,1905,,,,,
,,,,,,,BUX ILTB,,,,Lady Mary Currie,,tuber hyb.,salmon,Cannell,,1906CC1906,,1906,,,,,
,,,,,,,BUX ILTB,,,,Lady Mary Fitzwilliam,,tuber hyb.,red,Cannell,,1889 IH(0),,(0),,,,,
,,○,,,,,BUX PSB,,,,Lady Mary Harrison,,rex,,Leatherman,CA,1971,ﾚﾃﾞｨｰ･ﾏﾘｰ･ﾊﾘｿﾝ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Mary Lloyd,,tuber hyb.,salmon,,,1893 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Mary Wood,,tuber hyb.,salmon,,,CC 1897,,1897,,,,,
,,○,,,,,BUX Beg'78,,,,Lady May Herrison,,z,,Leatherman,CA,,ﾚﾃﾞｨｰ･ﾒｲ･ﾊﾘｿﾝ,,,,,,
,,,,,,,BUX ILTB,,,,Lady McCulloch,,tuber hyb.,flesh/pink,Cannell,,1905CC1905,,1905,,,,,
,,,,,,,BUX ILTB,,,,Lady Merrick,,tuber hyb.,orange,Cannell,,1893 Gar(0),,(0),,,,,
,,○,,,,,BUX TBG,,,,Lady Mildred Murray,,rex,,Leatherman,CA,,ﾚﾃﾞｨｰ･ﾐﾙﾄﾞﾚｯﾄﾞ･ﾏｰﾚｲ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Muriel Coventry,,tuber hyb.,white,B&L,England,1907 (0)　,,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Naylor Leyland,,tuber hyb.,salm/pink,Cannell,,1899CC1899,,1899,,,,,
,,,,,,,BUX ILTB,,,,Lady Neeld,,tuber hyb.,,B&L,England,1902 RH(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Nicholson,,tuber hyb.,salmon,B&L,England,1902 (0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Payne Gallwey,,tuber hyb.,rose,,,1907 B&L(0),,(0),,,,,
,,○,,,,,BUX Gar,,,,Lady Pearson,,z,,,,1897 (0),ﾚﾃﾞｨｰ･ﾊﾟｰｿﾝ,(0),,,,,
,,○,,,,,BUX Beg'67,,,,Lady Peggy Leatherman,,rex,,Leatherman,CA,,ﾚﾃﾞｨｰ･ﾍﾟｷﾞｨ･ﾚｻﾞｰﾏﾝ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Pigott,,tuber hyb.,salmon,,,1892 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Pole Carew,,tuber hyb.,orange,Cannell,,1902CC1902,,1902,,,,,
,,,,,,,BUX ILTB,,,,Lady Portman,,tuber hyb.,white,,,CC 1902,,1902,,,,,
,,,,,,,BUX ILTB,,,,Lady Rhonda,,tuber hyb.,salmon,AM B&L,England,1920 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Richards,,tuber hyb.,rose,Cannell,,1898CC1899,,1899,,,,,
,,,,,,,BUX ILTB,,,,Lady Roberts,,tuber hyb.,white,Laing,,1893 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Roberts,,tuber hyb.,rose,Laing,,CC 1882,,1882,,,,,
,,,,,,,BUX ILTB,,,,Lady Roberts,,tuber hyb.,white,,,CC 1897,,1897,,,,,
,,,,,,,BUX ILTB,,,,Lady Rowley,,tuber hyb.,,Cannell,,1901CC1902,,1902,,,,,
,,○,,,,,BUX CABS,,,,Lady Ruby Budd,,rex,,Leatherman,CA,,ﾚﾃﾞｨｰ･ﾙﾋﾞｰ･ﾊﾞｯﾄﾞ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Salmon,,tuber hyb.,yellow,Cannell,,1896 CC1897,,1897,,,,,
,,,,,,,BUX ILTB,,,,Lady Samuels,,tuber hyb.,white,Cannell,,1904CC1904,,1904,,,,,
,,,,,,,BUX ILTB,,,,Lady Scott,,tuber hyb.,,,,1893 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Scudamore Stanhope,,tuber hyb.,,,,1882 GC(0),,(0),,,,,
,,,,,,,BUX CABS,,,,Lady Sharon,,semp,,,,,ﾚﾃﾞｨｰ･,,,,,,
,,,,,,,BUX ILTB,,,,Lady Sidey,,tuber hyb.,orange,B&L,England,(0),,(0),,,,,
,,○,,,,,BUX CABS,,,,Lady Sophie Filler,,rex,,Leatherman,CA,,ﾚﾃﾞｨｰ･ｿﾌｨｰ･ﾌｨﾗｰ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Soroptimist,,tuber hyb.,yellow,,,AB 1975,,1975,,,,,
,,,,,,,BUX ILTB,,,,Lady S. Stanhope,,tuber hyb.,rose,Laing,,CC 1882,,1882,,,,,
,,,,,,,BUX ILTB,,,,Lady Stafford Northcote,,tuber hyb.,,,,1891 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady St. Oswald,,tuber hyb.,salmon,Cannell,,1901CC1902,,1902,,,,,
,,,,,,,BUX ILTB,,,,Lady Stuckley,,tuber hyb.,white,,,1924 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Talford,,tuber hyb.,,,,AvdH (0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Talfourd,,tuber hyb.,salmon,,,CLVH 1901,,1901,,,,,
,,○,,,,,BUX CABS,,,,Lady Thelma O' Reilly,,rex,,Leatherman,CA,,ﾚﾃﾞｨｰ･ﾃﾙﾏ･O'･ﾚｲﾘ,,,,,,
,,,,,,,BUX ILTB,,,,Lady Theodora Guest,,tuber hyb.,salmon,Laing,,1893 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Trevor Lawrence,,tuber hyb.,orange,,,1880 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Tweedmouth,,tuber hyb.,rose,FCC,,1913 B&L(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Tyler,,tuber hyb.,carmine,Laing,,1894 Gar(0),,(0),,,,,
,,○,,,,,BUX MLT,,,,Lady Vera Wright,,rex,,Leatherman,CA,,ﾚﾃﾞｨｰ･ﾍﾞﾗ･ﾗｲﾄ,,,,,,
,,○,,,,,BUX Beg'56,,,,Lady Vi,laetevirides x Viaudi,shrub,,Ziesenhenne,CA,1946p.19(1),ﾚﾃﾞｨｰ･ﾋﾞ,(1),,,,,
,,,,,,,BUX ILTB,,,,Lady Vincent,,tuber hyb.,pink,Cannell,,1902CC1902,,1902,,,,,
,,,,,,,BUX ILTB,,,,Lady Wantage,,tuber hyb.,rose,,,1893 Gar(0),,(0),,,,,
,,○,,,,,BUX GC,,,,Lady Waterlow,Improved Digswelliana      syn. Catalina,rhiz,,Shepherd,CA,1934Kew(0),ﾚﾃﾞｨｰ･ｳｫｰﾀｰﾙｰ,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Wenlock,,tuber hyb.,rose,B&L,England,1906 RHB(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Whitehead,,tuber hyb.,,Laing,,1891 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Whitehead,,tuber hyb.,yellow,,,CC 1897,,1897,,,,,
,,,,,,,BUX ILTB,,,,Lady Wilkins,,tuber hyb.,golden,Laing,,1893 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady Wilmot,,tuber hyb.,red,B&L,England,1902(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lady X. Somerset,,tuber hyb.,white,,,MDGZ1900,,1900,,,,,
,,,,,,,BUX ILTB,,,,Laelia,,tuber hyb.,,Fontaine,,1878AvdH(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Laelia,,tuber hyb.,crimson,,,1883 GC(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,La Favorite,,tuber hyb.,,Lemoine,,1879AvdH(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Lafayette,,tuber hyb.,scarlet,Lemoine,,1891 C(0),,(0),,,,,
,,,,,,,BUX Gar,,,,Lafayette,,tuber hyb.,red,Davis,,1893 (0),ﾗﾌｧｲｴｯﾄ,(0),,,,,
,,,,,,,BUX ILTB,,,,La Fee aux Rose,,tuber hyb.,rose,Crousse,,CCr 1883,,1883,,,,,
,,,,,,,BUX ILTB,,,,La Fiancee,,tuber hyb.,white,Vallerand,,1899 RH(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,La Foudre,,tuber hyb.,flame,Crousse,,CCr 1884,,1884,,,,,
,,,,,,,BUX ILTB,,,,La Foudre,,tuber hyb.,,Lemoine,,1898AvdH(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,La Fraicheur,,tuber hyb.,rose,,,CV 1921,,1921,,,,,
,,,,,,,BUX ILTB,,,,La Fraicheur,Ami Jean Bard x tuber,tuber hyb.,,Vallerand,,1927JSNHF,,,,,,,
,,,,,,,BUX RDSBD,,,,La Fraicheur,,semp,,Clause  list,,1962,,,,,,,
,,,,,,,BUX ILTB,,,,La France,,tuber hyb.,pink,Crousse,,1890CPF1893,,1893,,,,,
,,,,,,,BUX ILTB,,,,La France,,tuber hyb.,,Perrin,,AvdH (0),,(0),,,,,
,,,,,,,BUX ILTB,,,,La France,,tuber hyb.,rose,Vallerand,,1907 RH(0),,(0),,,,,
,,○,,,,,BUX PSB,,,,Lagato,,rex,,,,,ﾗｶﾞﾄ,,,,,,
,,,,,,,BUX ILTB,,,,La Grenade,,tuber hyb.,red,Malet,,1881 CCR,,,,,,,
,,○,,,,,BUX Fr,,,,Laguna,pseud-aridicaulis x manicata,rhiz,,Elsie Frey,CA,1961 (2),ﾗｸﾞﾅ,(2),,,,,○'70
,,,,,,,BUX ILTB,,,,Lahire,,tuber hyb.,red,Crousse,CA,1882 CCr,,,,,,,
,,,,,,,BUX ILTB,,,,L'Aiglon,,tuber hyb.,salmon,Vallerand,,AvdH (0),,(0),,,,,
,,,,,,,BUX RDSBD,,,,Laila,,semp,red,Daehnfeldt,,1966/67list1968,,1968,,,,,
,,,,,,,BUX ILTB,,,,Laing's Fringed White,,tuber hyb.,,,,1894 RHS(0),,(0),,,,,
,,,,,,,BUX Gar,,,,Laing's Golden,,tuber hyb.,yellow,Laing,,1894 (0),,(0),,,,,
,,,,,,,BUX Gar,,,,Laing's Picotee,,tuber hyb.,pink,Laing,,1893 (0),,(0),,,,,
,,,,,,,BUX TB,,,,Laing's Pink Bedder,,tuber hyb.,,Butcher,,194? (0),,(0),,,,,
,,,,,,,BUX Gar,,,,Laing's Rosebud,,tuber hyb.,pink,,,1893,,,,,,,
,,,,,,,BUX Gar,,,,Laing's Triumph,,tuber hyb.,rose,,,1892 (0),,(0),,,,,
,,,,,,,BUX Gar,,,,Laing's White,,tuber hyb.,,,,1894 (0),,(0),,,,,
,,○,,,,,BUX K,,,,Lake Louise,,rex,,,,(0),ﾚｲｸ･ﾙｲｽﾞ,(0),,,,,
,,○,,,,,ABS R#128,,,,Lakewood,Adrian Schmidt  x  rex seedling unk.,rex,,Gillingwators,CA,(0),ﾚｲｸｳｯﾄﾞ,(0),,,,,○'80
,,○,,,,,ABS R#687,○,読み,,Lakewood Gardens,Chumash x Black Knight,rhiz,pink,G. Frost,CA,1975,ﾚｲｸｳｯﾄﾞ･ｶﾞｰﾃﾞﾝｽ,,,,,,
,,,,,,,BUX ILTB,,,,Lakme,,tuber hyb.,yellow,Lemoine,,1884AvdH(0),,(0),,,,,
,,○,,,,,BUX Beg'81,,,,Lallage Barclay-Griffiths,,rhiz,,Barclay-Griffiths,,,ﾗﾚｰｼﾞ･ﾊﾞｰｸﾚｲ･ｸﾞﾘﾌｨｼｽ,,,,,,
,,○,,,,,BUX MLT1,,,,Lalomie,unk. parents,rex,,Corwin,CA,1983,ﾗﾛﾐｰ,,,,,,○'87
,,,,,,,BUX ILTB,,,,La Madelon,Ami Jean Bard x Bertinii Mme Mandrot,tuber hyb.,rose,Billard,,1919JSNH(0),ﾗ･ﾏﾃﾞﾛﾝ,(0),,,,,
,,,,,,,BUX ILTB,,,,La Madone,,tuber hyb.,pink,,,JSNHF1898,,1898,,,,,
,,,,,,,BUX ILTB,,,,La Madone,,tuber hyb.,white,Crousse,,AvdH (0),,(0),,,,,
,,○,,,,,BUX JABS,,,,La Marque,,rex,,,,Jul 1985,ﾗ･ﾏﾙｸ,'85,,,,,
,,,,,,,BUX ILTB,,,,Lamartine,,tuber hyb.,yellow,,,1908JSNH(0),,(0),,,,,
,,○,,,,,ABS R#732,,,,Lament,Lamont Cranston x This 'N That,rex,,Cole,CA,1975,ﾗﾒﾝﾄ,,,,,,
,,,,,,,BUX ILTB,,,,L'Ami du Coeur,,tuber hyb.,salmon,,,CZ 1881,,1881,,,,,
,,○,,,,,BUX Beg'81,,,,La Mona,,rhiz,,Paul Epple,,,ﾗ･ﾓﾅ,,,,,,
,,○,,,,,BUX PSB,,,,Lamont Cranston,,rex,,Lee,CA,,ﾗﾓﾝﾄ･ｸﾗﾝｽﾄﾝ,,,,,,
,,○,,,,,BUX HF,,,,Lamprophylla,,z,,,,1858 (0),ﾗﾝﾌﾟﾛﾌｨﾗ,(0),,,,,
,,○,,,,,ABS R#392,,,,Lana,Elizabeth Lockhart x unk.,cane,,P. Lee,CA,1965,ﾗﾅ,,,,,,○'83
,,,,,,,BUX ILTB,,,,Lanciana,,tuber hyb.,,B&L,England,1902(0),,(0),,,,,
,,○,,,,,BUX G'a,,,,Landsbergii,,z,,,,1893 (0),ﾗﾝｽﾞﾍﾞﾙｷﾞｲ,(0),,,,,
,,,,,,,BUX ILTB,,,,La Neige,,tuber hyb.,white,,,CZ 1889,,1889,,,,,
,,,,,,,BUX ILTB,,,,La Neige,,tuber hyb.,,Billard,,1920JSNH(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Langdon's Crimson,,tuber hyb.,,B&L,England,1961JRHS1962,,1962,,,,,
,,,,,,,BUX ILTB,,,,Langdon's Double Frilled,,tuber hyb.,mixed colours,B&L,England,1961JRHS1962,,1962,,,,,
,,,,,,,BUX ILTB,,,,Langdon's Frilled Double White,,tuber hyb.,white,B&L,England,1959JRHS1960,,1960,,,,,
,,,,,,,BUX ILTB,,,,Langdon's Orange,,tuber hyb.,orange,B&L,England,1961JRHS1969,,1969,,,,,
,,,,,,,BUX ILTB,,,,Langdon's Rose,,tuber hyb.,rose,B&L,England,1959JRHS1960,,1960,,,,,
,,,,,,,BUX ILTB,,,,Langdon's Scarlet,,tuber hyb.,scarlet,B&L,England,1961JRHS1962,,1962,,,,,
,,,,,,,BUX ILTB,,,,Langdon's White,,tuber hyb.,white,B&L,England,1959JRHS1960,,1960,,,,,
,,,,,,,BUX ILTB,,,,Langdon's White Picotee Edged,,tuber hyb.,white,B&L,England,1959JRHS1960,,1960,,,,,
,,,,,,,BUX ILTB,,,,Langdon's Yellow,,tuber hyb.,yellow,B&L,England,1961JRHS1962,,1962,,,,,
,,○,,,,,BUX C,,,,Langeana,Erythrophylla x manicata,rhiz,,Fotsch,,1933 (0),ﾗﾝｹﾞｱｰﾅ,(0),,,,,
,,,,,,,BUX ILTB,,,,La Nymphe,,tuber hyb.,cream,,,1905CV1905,,1905,,,,,
,,,,,,,BUX ILTB,,,,La Nymphe,,tuber hyb.,white,,,CV 1922,,1922,,,,,
,,,,,,,BUX ILTB,,,,La Pactole,,tuber hyb.,yellow,Crousse,,CCr 1888,,1888,,,,,
,,○,,,,,BUX JM,,,,La Paloma,Pinafore x Ionic,cane,white,Asmussen,TX,1979,ﾗ･ﾊﾟﾛﾏ,,,,,,○'91
,,,,,,,BUX ILTB,,,,La Perle,,tuber hyb.,rose,,,CLVH1898,,1898,,,,,
,,,,,,,BUX ILTB,,,,La Perle,,tuber hyb.,,Lemoine,,1876AvdH(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,La Perle,,tuber hyb.,,,,1899CLVH1900,,1900,,,,,
,,○,,,,,BUX JABS,,,,La Perle de Paris,,z,,C. F.Newman,South Aust.,1894/95,ﾗ･ﾊﾟｰﾙ･ﾄﾞｩ･ﾊﾟﾘ,,,,,,
,,○,,,,,BUX C,,,,Lapeyrousei,hydrocotylifolia x incarnata,z,,Lapayrouse,,1853 (0),ﾗﾍﾟｲﾛｳｾﾞｲ,(0),,,,,
,,○,,,,,BUX G'a,,,,Lapeyrousi,hydrocotylifolia x incarnata,z,,Lapayrouse,,1853AvdH(0),ﾗﾍﾟｲﾛｳｼﾞ,(0),,,,,
,,○,,,,,BUX FC,,,,Lapeyrousia,,z,,,,1854 (0),ﾗﾍﾟｲﾛｳｼﾞｱ,(0),,,,,
,,,,,,,BUX ILTB,,,,La Promesse,,tuber hyb.,white,,,CZ 1881,,1881,,,,,
,,,,,,,BUX ILTB,,,,La Purcelle,,tuber hyb.,white,,,1905CLVH1906,,1906,,,,,
,,○,,,,,BUX MLT1,,,,Laquered,Stained Glass x hidalgensis,rhiz,,Misono I.,Japan,1978,ﾗｯｶｰﾄﾞ,,,,,,○
,,,,,,,BUX Beg'71,,,,Lark,,tuber hyb.,,Doorenbos,,,,,,,,,
