08出品者,08場所,フィールド1,神代０７,神代０８,07場所,07出品者,出典,修正・レコード内追加,修正事項,出所･担当等,品種名,交配親・産地,分類,花色,作出命名者,所属・Sec/原種　,発表見/掲載,読み,掲載,追加,フィールド3,フィールド2,担当者,入
,,○,,,,,BUX CB,,,,Argentea Zebrina,,rex,,Wm Bull  cat.,London,1883 ad97,ｱﾙｹﾞﾝﾃｱ･ｾﾞﾌﾞﾘﾅ,ad97,,,,,
,,○,,,,,BUX CB,,,,Argus,,rex,,Wm Bull  cat.,London,1883 ad97,ｱｰｶﾞｽ,ad97,,,,,
,,○,,,,,BUX CB,,,,Ariadne,,rex,,Wm Bull  cat.,London,1883 ad97,ｱﾘｱﾄﾞﾈ,ad97,,,,,
,,○,,,,,BUX,,,,Arriba,Kristy x Cherry Jubilee,cane,,Asmussen,TX,1987 ad97,ｱﾘﾊﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Art Monday,Red Rubra x maculata,cane,pink,Goldie Frost,CA,1988 ad97,ｱｰﾄ･ﾏﾝﾃﾞｲ,ad97,,,,,
,,○,,,,,JBS2,,,,Ashinagaojisan,Silver Lake x Spiral King,rex,,Misono I.,Japan,1978 ad97,ｱｼﾅｶﾞｵｼﾞｻﾝ,ad97,,,,,○
,,○,,,,,BUX,,,,Ashley Ogdon,Red Rubra x maculata,cane,pink,Goldie Frost,CA,1988 ad97,ｱｼｭﾚｲ･ｵｸﾞﾄﾞﾝ,ad97,,,,,
,,○,,,,,BUX MLT,,,,Astrida,,cane,,,,1936 ad97,ｱｽﾄﾘﾀﾞ,ad97,,,,,
,,○,,,,,JBS3,,,,Atsubagashiwa,Dearest Mae x dietrichiana,rhiz,,Misono I.,Japan,ad97,ｱﾂﾊﾞｶﾞｼﾜ　    　（厚葉柏）,ad97,,,,,○
,,○,,,,,BUX MLT,,,,Audree,coccinea seedling,cane,red,Robinson,CA,1934 ad97,ｵｰﾄﾞﾘｰ,ad97,,,,,
